Pick,Value,% of no. 1 pick
284,1,0.00%
285,1,0.00%
286,1,0.00%
287,1,0.00%
288,1,0.00%
289,1,0.00%
290,1,0.00%
291,1,0.00%
292,1,0.00%
293,1,0.00%
294,1,0.00%
295,1,0.00%
296,1,0.00%
297,1,0.00%
298,1,0.00%
299,1,0.00%
300,1,0.00%
301,1,0.00%
302,1,0.00%
303,1,0.00%
304,1,0.00%
305,1,0.00%
306,1,0.00%
307,1,0.00%
308,1,0.00%
309,1,0.00%
310,1,0.00%
311,1,0.00%
312,1,0.00%
313,1,0.00%
314,1,0.00%
315,1,0.00%
316,1,0.00%
317,1,0.00%
318,1,0.00%
319,1,0.00%
320,1,0.00%
321,1,0.00%
322,1,0.00%
323,1,0.00%
324,1,0.00%
325,1,0.00%
326,1,0.00%
327,1,0.00%
328,1,0.00%
329,1,0.00%
330,1,0.00%
331,1,0.00%
332,1,0.00%
333,1,0.00%
334,1,0.00%
335,1,0.00%
336,1,0.00%
337,1,0.00%
338,1,0.00%
339,1,0.00%
340,1,0.00%
341,1,0.00%
342,1,0.00%
343,1,0.00%
344,1,0.00%
345,1,0.00%
346,1,0.00%
347,1,0.00%
348,1,0.00%
349,0.95,0.00%
350,0.9025,0.00%
